Item,Category,Calories,Fat_Calories,Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Total_Carb,Sugars,Protein
Whopper® Sandwich,Burgers,660,360,40,12,1.5,90,980,49,11,28
Whopper® Sandwich with Cheese,Burgers,740,420,46,16,2,115,1340,50,11,32
Bacon & Cheese Whopper® Sandwich,Burgers,790,460,51,17,2,125,1560,50,11,35
Double Whopper® Sandwich,Burgers,900,520,58,20,3,175,1050,49,11,48
Double Whopper® Sandwich with Cheese,Burgers,980,580,64,24,3,195,1410,50,11,52
Triple Whopper® Sandwich,Burgers,1130,680,75,28,4,255,1120,49,11,67
Triple Whopper® Sandwich with Cheese,Burgers,1220,740,82,32,4.5,280,1470,50,11,71
Whopper JR.® Sandwich,Burgers,310,160,18,5,0.5,40,390,27,7,13
Bacon King Sandwich,Burgers,1150,710,79,31,3.5,240,2150,49,10,61
Cheddar Bacon King Sandwich,Burgers,1190,750,84,33,3.5,235,1930,50,11,64
Single Quarter Pound King Sandwich,Burgers,580,260,29,13,1.5,105,1310,49,10,32
Double Quarter Pound King Sandwich,Burgers,900,480,54,25,3,210,1740,50,11,56
Single Stacker King,Burgers,700,380,42,16,2,125,1360,48,10,35
Double Stacker King,Burgers,1050,610,68,28,3.5,235,1870,49,11,61
IMPOSSIBLE Whopper® Sandwich,Burgers,630,310,34,11,0,10,1080,58,12,25
Hamburger,Burgers,240,90,10,3.5,0.5,35,380,26,6,13
Cheeseburger,Burgers,280,120,13,6,0.5,45,560,27,7,15
Double Hamburger,Burgers,350,160,18,7,1,70,410,26,6,21
Double Cheeseburger,Burgers,390,190,21,9,1.5,85,590,27,7,23
Extra Long Cheeseburger,Burgers,630,330,37,14,1.5,100,1050,45,9,29
Bacon Cheeseburger,Burgers,320,140,16,7,0.5,55,710,27,7,17
Bacon Double Cheeseburger,Burgers,420,210,24,10,1.5,90,740,27,7,25
Crispy Chicken Sandwich,Chicken,670,370,41,7,0,60,1080,54,8,23
Spicy Crispy Chicken Sandwich,Chicken,700,370,42,7,0,65,1140,57,8,25
Original Chicken Sandwich,Chicken,660,360,40,7,0,75,1170,48,5,28
Bacon & Cheese Crispy Chicken Sandwich,Chicken,800,460,52,13,1,95,1650,55,8,30
BBQ Bacon Crispy Chicken Sandwich,Chicken,790,440,49,10,0.5,80,1630,60,13,28
Crispy Chicken Jr.,Chicken,450,270,30,5,0,30,780,34,5,12
Spicy Crispy Chicken Jr.,Chicken,390,190,21,3.5,0,30,740,37,6,12
Chicken Nuggets- 4pc,Chicken,170,100,11,1.5,0,25,310,11,0,8
Chicken Nuggets- 6pc,Chicken,260,150,16,2.5,0,35,470,16,0,12
Chicken Nuggets- 10pc,Chicken,430,240,27,4.5,0,55,780,27,0,20
Chicken Nuggets- 20pc,Chicken,860,490,54,9,0,115,1570,53,1,39
Spicy Chicken Nuggets- 4pc,Chicken,210,130,15,3,0,20,570,11,0,8
Spicy Chicken Nuggets- 6pc,Chicken,320,200,22,4.5,0,35,850,17,0,12
Spicy Chicken Nuggets- 10 pc,Chicken,530,330,37,7,0,55,1420,28,1,20
Spicy Chicken Nuggets- 20 pc,Chicken,1050,670,74,15,0,110,2840,56,1,40
Chicken Fries – 9 pc.,Chicken,280,150,17,2.5,0,35,850,20,1,13
Crispy Taco,Chicken,170,80,9,3,0,10,410,19,1,5
BIG FISH Sandwich,Chicken,510,250,28,4.5,0,30,1180,51,7,16
Chicken Nuggets- 4pc,Burgers,170,100,11,1.5,0,25,310,11,0,8
Chicken Nuggets- 6pc,Burgers,260,150,16,2.5,0,35,470,16,0,12
Hamburger,Burgers,240,90,10,3.5,0.5,35,380,26,6,13
Cheeseburger,Burgers,280,120,13,6,0.5,45,560,27,7,15
CROISSAN’WICH® Egg & Cheese,Breakfast,340,170,18,8,0,160,610,29,4,12
"CROISSAN’WICH® Sausage, Egg & Cheese",Breakfast,500,300,33,13,0,195,930,30,4,19
"CROISSAN’WICH® Ham, Egg & Cheese",Breakfast,370,170,19,8,0,175,1030,30,5,17
"CROISSAN’WICH® Bacon, Egg & Cheese",Breakfast,370,190,21,9,0,170,760,30,4,14
Fully Loaded CROISSAN’WICH®,Breakfast,610,360,40,17,0.5,225,1680,31,5,28
Double CROISSAN’WICH® with Sausage & Bacon,Breakfast,580,340,40,16,0.5,215,1260,31,5,23
Double CROISSAN’WICH® with Sausage,Breakfast,710,470,52,20,0.5,240,1420,31,5,29
Double CROISSAN’WICH® with Ham & Sausage,Breakfast,580,340,38,16,0.5,220,1530,31,5,27
Fully Loaded Biscuit,Breakfast,640,400,45,20,0,225,2190,31,4,28
"Ham, Egg, & Cheese Biscuit",Breakfast,400,210,24,12,0,175,1550,29,3,17
"Sausage, Egg, & Cheese Biscuit",Breakfast,530,340,38,17,0,195,1440,29,3,19
"Bacon, Egg & Cheese Biscuit",Breakfast,400,230,26,13,0,170,1270,29,3,13
Sausage Biscuit,Breakfast,420,250,28,6,0,35,1050,28,2,12
Breakfast Burrito Jr.,Breakfast,370,210,23,8,0,150,930,27,2,15
EGG-NORMOUS BURRITOΡ,Breakfast,780,380,42,15,0,355,1960,68,4,32
BK™ Ultimate Breakfast Platter,Breakfast,930,390,44,11,0,390,2230,110,40,24
NY Ultimate Platter (Regional menu item),Breakfast,900,420,46,12,0,380,1760,95,31,25
Pancake and Sausage platter,Breakfast,610,280,31,9,0,80,1010,72,30,12
Hash Browns – small,Breakfast,250,150,16,3.5,0,0,580,24,0,2
Hash Browns – medium,Breakfast,500,290,33,7,0,0,1140,48,0,4
Hash Browns – large,Breakfast,670,390,44,9,0,0,1530,65,0,5
French Toast Sticks (3 piece),Breakfast,230,100,11,2,0,0,260,29,8,3
French Toast Sticks (5 piece),Breakfast,380,160,18,3,0,0,430,49,13,5
American Cheese (slice),Breakfast,40,30,3.5,2,0,10,180,1,0,2
Ketchup (Packet),Breakfast,10,0,0,0,0,0,125,3,2,0
Mayonnaise (Packet),Breakfast,80,80,9,0.5,0,10,75,1,0,0
Strawberry or Grape Jam (packet),Breakfast,30,0,0,0,0,0,0,7,6,0
Breakfast Syrup (1 oz),Breakfast,120,0,0,0,0,0,15,30,18,0
Barbecue Dipping Sauce (1 oz),Breakfast,40,0,0,0,0,0,310,11,10,0
Ranch Dipping Sauce (1 oz),Breakfast,140,140,15,2.5,0,10,85,1,1,1
Buffalo Dipping Sauce (1 oz),Breakfast,80,70,8,1.5,0,5,360,2,1,0
Zesty Onion Ring Dipping Sauce (1 oz),Breakfast,150,140,15,2.5,0,20,240,3,0,0
Honey Mustard Dipping Sauce (1oz),Breakfast,90,60,6,1,0,10,180,8,7,0
